reason_id,source_work_id,target_work_id,reason_kind,entity_id,relation_id,transition_id,event_id,event_occurrence_id,source_continuity_id,destination_continuity_id,participant_fact_ids,support_fact_ids,appearance_kinds,verification_statuses,certainty_values,notes
reason-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-explicit-relation-work-relation-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-promotion,shang-chi-and-the-legend-of-the-ten-rings-2021,avengers-doomsday-2026-12-18,explicit_relation,,work-relation-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-promotion,,,,,,,work-relation-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-promotion,,legacy_seed,confirmed,promotion; promotion; promotional
reason-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-explicit-relation-work-relation-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-story-link,she-hulk-attorney-at-law-2022,daredevil-born-again-s1-2025,explicit_relation,,work-relation-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-story-link,,,,,,,work-relation-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-story-link,,legacy_seed,probable,story_link; story; indirect
reason-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-shared-entity-entity-x-97f9d29354,she-hulk-attorney-at-law-2022,daredevil-born-again-s1-2025,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-daredevil-born-again-s1-2025-entity-x-97f9d29354|appearance-she-hulk-attorney-at-law-2022-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-she-hulk-attorney-at-law-2022-daredevil-born-again-s2-2026-shared-entity-entity-x-97f9d29354,she-hulk-attorney-at-law-2022,daredevil-born-again-s2-2026,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-daredevil-born-again-s2-2026-entity-x-97f9d29354|appearance-she-hulk-attorney-at-law-2022-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-she-hulk-attorney-at-law-2022-echo-2024-shared-entity-entity-x-97f9d29354,she-hulk-attorney-at-law-2022,echo-2024,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-echo-2024-entity-x-97f9d29354|appearance-she-hulk-attorney-at-law-2022-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-spider-man-2-2004-spider-man-3-2007-explicit-relation-work-relation-spider-man-2-2004-spider-man-3-2007-sequel,spider-man-2-2004,spider-man-3-2007,explicit_relation,,work-relation-spider-man-2-2004-spider-man-3-2007-sequel,,,,,,,work-relation-spider-man-2-2004-spider-man-3-2007-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-spider-man-2-2004-spider-man-3-2007-shared-entity-entity-x-f162d4b4b2,spider-man-2-2004,spider-man-3-2007,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-2-2004-entity-x-f162d4b4b2|appearance-spider-man-3-2007-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-2-2004-spider-man-no-way-home-2021-shared-entity-entity-x-f162d4b4b2,spider-man-2-2004,spider-man-no-way-home-2021,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-2-2004-entity-x-f162d4b4b2|appearance-spider-man-no-way-home-2021-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-2002-spider-man-2-2004-explicit-relation-work-relation-spider-man-2002-spider-man-2-2004-sequel,spider-man-2002,spider-man-2-2004,explicit_relation,,work-relation-spider-man-2002-spider-man-2-2004-sequel,,,,,,,work-relation-spider-man-2002-spider-man-2-2004-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-spider-man-2002-spider-man-2-2004-shared-entity-entity-x-f162d4b4b2,spider-man-2002,spider-man-2-2004,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-2-2004-entity-x-f162d4b4b2|appearance-spider-man-2002-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-2002-spider-man-3-2007-shared-entity-entity-x-f162d4b4b2,spider-man-2002,spider-man-3-2007,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-2002-entity-x-f162d4b4b2|appearance-spider-man-3-2007-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-2002-spider-man-no-way-home-2021-shared-entity-entity-x-f162d4b4b2,spider-man-2002,spider-man-no-way-home-2021,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-2002-entity-x-f162d4b4b2|appearance-spider-man-no-way-home-2021-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-3-2007-spider-man-no-way-home-2021-multiverse-transition-event-nwh-raimi-peter-arrival-event-occurrence-nwh-raimi-peter-arrival,spider-man-3-2007,spider-man-no-way-home-2021,multiverse_transition,,,event-nwh-raimi-peter-arrival,event-nwh-raimi-peter-arrival,event-occurrence-nwh-raimi-peter-arrival,continuity-spider-man-raimi,continuity-earth-616,transition-participant-nwh-raimi-peter,event-nwh-raimi-peter-arrival|event-occurrence-nwh-raimi-peter-arrival|transition-participant-nwh-raimi-peter|work-continuity-spider-man-3-2007-continuity-spider-man-raimi,,legacy_seed|source_verified,confirmed|unknown,spell_displacement; source=continuity-spider-man-raimi; destination=continuity-earth-616; occurrence=event-occurrence-nwh-raimi-peter-arrival; No Way Home depicts Tobey Maguire's returning Peter Parker alongside the other Peter Parkers after the multiverse disruption; this occurrence records the arrival in the containing work.
reason-spider-man-3-2007-spider-man-no-way-home-2021-shared-entity-entity-x-f162d4b4b2,spider-man-3-2007,spider-man-no-way-home-2021,shared_entity,entity-x-f162d4b4b2,,,,,,,,appearance-spider-man-3-2007-entity-x-f162d4b4b2|appearance-spider-man-no-way-home-2021-entity-x-f162d4b4b2,unknown,legacy_seed,unknown,
reason-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-explicit-relation-work-relation-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-sequel,spider-man-across-the-spider-verse-2023,spider-man-beyond-the-spider-verse-tba,explicit_relation,,work-relation-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-sequel,,,,,,,work-relation-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-sequel,,source_verified,confirmed,sequel; story; strong
reason-spider-man-far-from-home-2019-secret-invasion-2023-explicit-relation-work-relation-spider-man-far-from-home-2019-secret-invasion-2023-world-lore,spider-man-far-from-home-2019,secret-invasion-2023,explicit_relation,,work-relation-spider-man-far-from-home-2019-secret-invasion-2023-world-lore,,,,,,,work-relation-spider-man-far-from-home-2019-secret-invasion-2023-world-lore,,legacy_seed,probable,world_lore; world_lore; indirect
reason-spider-man-far-from-home-2019-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,spider-man-far-from-home-2019,spider-man-brand-new-day-2026-07-31,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-brand-new-day-2026-07-31-entity-mcu|appearance-spider-man-far-from-home-2019-entity-mcu,unknown,legacy_seed,unknown,
reason-spider-man-far-from-home-2019-spider-man-no-way-home-2021-explicit-relation-work-relation-spider-man-far-from-home-2019-spider-man-no-way-home-2021-sequel,spider-man-far-from-home-2019,spider-man-no-way-home-2021,explicit_relation,,work-relation-spider-man-far-from-home-2019-spider-man-no-way-home-2021-sequel,,,,,,,work-relation-spider-man-far-from-home-2019-spider-man-no-way-home-2021-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-spider-man-far-from-home-2019-spider-man-no-way-home-2021-shared-entity-entity-mcu,spider-man-far-from-home-2019,spider-man-no-way-home-2021,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-far-from-home-2019-entity-mcu|appearance-spider-man-no-way-home-2021-entity-mcu,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-avengers-endgame-2019-shared-entity-entity-mcu,spider-man-homecoming-2017,avengers-endgame-2019,shared_entity,entity-mcu,,,,,,,,appearance-avengers-endgame-2019-entity-mcu|appearance-spider-man-homecoming-2017-entity-mcu,unknown,legacy_seed,unknown,
