edge_id,source_work_id,target_work_id,reason_ids,reason_count
edge-avengers-endgame-2019-eternals-2021,avengers-endgame-2019,eternals-2021,reason-avengers-endgame-2019-eternals-2021-explicit-relation-work-relation-avengers-endgame-2019-eternals-2021-story-link,1
edge-avengers-endgame-2019-hawkeye-2021,avengers-endgame-2019,hawkeye-2021,reason-avengers-endgame-2019-hawkeye-2021-explicit-relation-work-relation-avengers-endgame-2019-hawkeye-2021-aftermath|reason-avengers-endgame-2019-hawkeye-2021-shared-entity-entity-x-605a05a114,2
edge-avengers-endgame-2019-loki-s1-2021,avengers-endgame-2019,loki-s1-2021,reason-avengers-endgame-2019-loki-s1-2021-explicit-relation-work-relation-avengers-endgame-2019-loki-s1-2021-story-link,1
edge-avengers-endgame-2019-she-hulk-attorney-at-law-2022,avengers-endgame-2019,she-hulk-attorney-at-law-2022,reason-avengers-endgame-2019-she-hulk-attorney-at-law-2022-shared-entity-entity-x-50a34df778,1
edge-avengers-endgame-2019-spider-man-brand-new-day-2026-07-31,avengers-endgame-2019,spider-man-brand-new-day-2026-07-31,reason-avengers-endgame-2019-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,1
edge-avengers-endgame-2019-spider-man-far-from-home-2019,avengers-endgame-2019,spider-man-far-from-home-2019,reason-avengers-endgame-2019-spider-man-far-from-home-2019-explicit-relation-work-relation-avengers-endgame-2019-spider-man-far-from-home-2019-aftermath|reason-avengers-endgame-2019-spider-man-far-from-home-2019-shared-entity-entity-mcu,2
edge-avengers-endgame-2019-spider-man-no-way-home-2021,avengers-endgame-2019,spider-man-no-way-home-2021,reason-avengers-endgame-2019-spider-man-no-way-home-2021-shared-entity-entity-mcu|reason-avengers-endgame-2019-spider-man-no-way-home-2021-shared-entity-entity-x-c8ead423cc,2
edge-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021,avengers-endgame-2019,the-falcon-and-the-winter-soldier-2021,reason-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021-explicit-relation-work-relation-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021-story-link|reason-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-bd73e23ab5|reason-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-fd344cdc17,3
edge-avengers-endgame-2019-the-marvels-2023,avengers-endgame-2019,the-marvels-2023,reason-avengers-endgame-2019-the-marvels-2023-shared-entity-entity-x-a6764da9a6,1
edge-avengers-endgame-2019-thor-love-and-thunder-2022,avengers-endgame-2019,thor-love-and-thunder-2022,reason-avengers-endgame-2019-thor-love-and-thunder-2022-shared-entity-entity-x-7250204b23,1
edge-avengers-endgame-2019-thunderbolts-new-avengers-2025,avengers-endgame-2019,thunderbolts-new-avengers-2025,reason-avengers-endgame-2019-thunderbolts-new-avengers-2025-shared-entity-entity-x-bd73e23ab5,1
edge-avengers-endgame-2019-wandavision-2021,avengers-endgame-2019,wandavision-2021,reason-avengers-endgame-2019-wandavision-2021-explicit-relation-work-relation-avengers-endgame-2019-wandavision-2021-story-link|reason-avengers-endgame-2019-wandavision-2021-shared-entity-entity-x-42251c0735,2
edge-avengers-infinity-war-2018-avengers-doomsday-2026-12-18,avengers-infinity-war-2018,avengers-doomsday-2026-12-18,reason-avengers-infinity-war-2018-avengers-doomsday-2026-12-18-shared-entity-entity-x-7250204b23,1
edge-avengers-infinity-war-2018-avengers-endgame-2019,avengers-infinity-war-2018,avengers-endgame-2019,reason-avengers-infinity-war-2018-avengers-endgame-2019-explicit-relation-work-relation-avengers-infinity-war-2018-avengers-endgame-2019-sequel|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-mcu|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-42251c0735|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-50a34df778|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-5a2ee964f0|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-6f5fa7e694|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-7250204b23|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-927d19aa0b|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-bd73e23ab5|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-c8ead423cc|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-f2dcf7c7cc|reason-avengers-infinity-war-2018-avengers-endgame-2019-shared-entity-entity-x-fd344cdc17,12
edge-avengers-infinity-war-2018-black-panther-wakanda-forever-2022,avengers-infinity-war-2018,black-panther-wakanda-forever-2022,reason-avengers-infinity-war-2018-black-panther-wakanda-forever-2022-shared-entity-entity-x-6f5fa7e694,1
edge-avengers-infinity-war-2018-black-widow-2021,avengers-infinity-war-2018,black-widow-2021,reason-avengers-infinity-war-2018-black-widow-2021-shared-entity-entity-x-927d19aa0b,1
edge-avengers-infinity-war-2018-captain-america-brave-new-world-2025,avengers-infinity-war-2018,captain-america-brave-new-world-2025,reason-avengers-infinity-war-2018-captain-america-brave-new-world-2025-shared-entity-entity-x-fd344cdc17,1
edge-avengers-infinity-war-2018-doctor-strange-in-the-multiverse-of-madness-2022,avengers-infinity-war-2018,doctor-strange-in-the-multiverse-of-madness-2022,reason-avengers-infinity-war-2018-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-42251c0735|reason-avengers-infinity-war-2018-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-c8ead423cc,2
